Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
2757,264,0,23.8196,0
2777,282,164,22.3307,0.663935
2741,282,172,23.1378,0.394053
2735,277,173,22.3933,1.42883
2757,297,172,23.0386,0.692804
2695,279,168,21.9856,2.6214
2715,289,192,21.6574,1.72597
2628,272,156,21.3662,0.351135
2639,266,173,22.0354,0.304849
2672,254,162,22.6055,0.288589
