Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
115,17,0,3.49081,0
98,14,12,3.97159,0.068654
113,18,15,2.79669,0.045828
121,21,15,2.23911,0.047623
160,26,19,2.27317,0.047566
383,43,26,2.14558,0.060205
85,18,16,2.17364,0.050169
210,31,20,2.16526,0.052978
171,26,22,2.10263,0.051643
281,34,25,2.35226,0.056541
