Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
1438,138,0,53.1999,0
1371,132,65,41.0933,0.159622
1380,124,62,38.1524,0.221557
1335,137,67,37.4343,0.127868
1305,134,69,35.2233,0.144594
1369,140,76,41.1004,0.548502
1396,137,53,38.4433,1.2105
1382,148,52,41.2011,0.233404
1463,159,77,39.3654,1.19681
1422,137,67,38.4915,0.224696
