Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
1351,166,0,34.5314,0
1327,157,130,35.2543,0.244903
1311,161,128,30.3195,0.312927
1351,155,128,31.0032,0.242825
1360,163,131,28.5022,0.351714
1347,164,133,28.5044,0.317252
1363,173,139,32.7528,0.247564
1331,175,142,33.2857,0.282233
1358,177,148,33.3732,0.321658
1331,179,141,32.183,0.647254
