Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
1824,149,0,0.449692,0
1832,152,121,0.458745,0.152129
1810,150,122,0.401986,0.968917
1817,155,106,0.382139,0.169522
1793,149,108,0.382293,0.263886
1796,149,113,0.390894,0.19457
1788,156,130,0.395954,0.21146
1695,150,111,0.393982,0.209968
1749,138,109,0.373509,0.206708
1770,143,113,0.374311,0.195901
