Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
500,92,0,3.82223,0
500,102,71,3.60029,0.278765
500,106,74,3.09129,0.165554
500,113,75,3.05946,0.433794
500,109,82,3.12467,0.158845
500,125,83,3.2426,1.03823
500,130,99,3.0721,0.130996
500,129,86,3.0739,0.138669
500,127,80,3.14312,0.221878
500,128,84,3.25939,0.211603
