Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
2757,264,0,23.8403,0
2777,282,194,21.7078,0.413265
2741,282,184,21.558,0.453515
2735,277,198,22.8838,0.31218
2757,297,182,21.4516,0.457178
2695,279,175,23.584,0.255453
2715,289,204,21.5728,0.766319
2628,272,178,21.7226,0.37009
2639,266,190,21.9218,0.436393
2672,254,192,21.9947,0.657315
