Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
1824,149,0,0.450571,0
1832,152,103,0.411149,0.228497
1810,150,101,0.421076,0.314138
1817,155,108,0.385393,0.227356
1793,149,103,0.380495,0.267211
1796,149,97,0.431932,0.166938
1788,156,99,0.379931,0.295238
1695,150,105,0.380696,0.309126
1749,138,101,0.396833,0.198876
1770,143,102,0.390896,0.275934
