Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
500,92,0,3.66467,0
500,102,48,3.25886,0.139903
500,106,58,3.59445,0.116641
500,113,51,2.88282,0.144377
500,109,57,3.00288,0.160498
500,125,72,2.97188,0.167436
500,130,80,3.38725,0.173952
500,129,68,3.21684,0.14395
500,127,65,3.11803,0.172508
500,128,72,3.21938,0.154877
