Keypointbefore,KeypointAfter,DescriptorMatches,KeypointTime,MatchingTime
115,17,0,4.17385,0
98,14,12,3.13245,0.066476
113,18,14,2.73985,0.185589
121,21,15,2.11531,3.14533
160,26,17,2.07276,0.055614
383,43,25,2.21398,0.18817
85,18,15,2.13582,0.059445
210,31,19,2.06368,0.05576
171,26,17,2.28135,0.230478
281,34,22,2.22195,0.057722
